Item,Price,Source
Magnets 2x0.5mm (1000pcs),8.83,https://es.aliexpress.com/item/1005009461785489.html
Pogo Pads 1u,0.04,https://www.lcsc.com/product-detail/C2826547.html
Pogo Pins 1u,0.09,https://www.lcsc.com/product-detail/C42419351.html
Pogo Headers,,https://www.lcsc.com/product-detail/C5296819.html
