AE1:1
C1:1
C16:1
C17:1
C18:1
C19:1
C2:1
C20:1
C21:1
C22:1
C23:1
C24:1
C25:1
C26:1
C27:1
C28:1
C29:1
C3:1
C30:1
C31:1
C32:1
C33:1
C34:1
C35:1
C36:1
C6:1
C9:1
CN1:1
CN2:1
CN3:1
CN4:1
CN5:1
CN6:1
CN7:1
CN8:1
CN9:1
L1:1
L2:1
R1:1
R10:1
R11:1
R12:1
R13:1
R14:1
R2:1
R4:1
R5:1
R6:1
R7:1
R8:1
R9:1
TP1:1
TP2:1
TP3:1
TP4:1
TP5:1
TP6:1
TP7:1
TP8:1
TP9:1
U10:1
U11:1
U12:1
U13:1
U14:1
U15:1
U16:1
U17:1
U18:1
U19:1
U2:1
U20:1
U3:1
U4:1
U5:1
U6:1
U7:1
U8:1
U9:1
USB1:1
X1:1
